interview__id,cs_sector,longitude,latitude,firm_id,password,show_MA_quantile_bysector0,show_MA_quantile_bysector1,show_MA_quantile_bysector2,show_MA_Poll,valid_poll,valid_MA,loc_info,MA_qn_0,MA_qn_1,MA_qn_2,Pll_qnt
0014758871944cbdabc09fba8c345e51,WELDING,32.56568833,0.269996667,id_845,pass_207,0,1,0,1,0,0, ,0,0,0,0
006477b87f5f4fc2895c870779d8bdb0,WELDING,30.2765143,0.658998,id_1584,pass_1342,0,1,0,1,0,0,KABAROLE FORT PORTAL MUNICIPALITY WESTERN DIVISION,0,0,0,0
0079e2a1750c4fcc89442799b787a7ea,FURNITURE,32.5556264,0.3089048,id_168,pass_805,1,0,0,1,1,1,KAMPALA KAMPALA CAPITAL CITY RUBAGA,2,1,0,2
00c8e04b60de4efba42bebb1e3128a29,MAIZE,32.5618877,0.3665977,id_1522,pass_1769,0,0,0,1,0,0,KAMPALA KAMPALA CAPITAL CITY KAWEMPE,2,0,0,0
00da36694cec44c3a31ab7cd27b970aa,FURNITURE,32.57652757,0.372325572,id_857,pass_371,1,0,0,1,1,1,KAMPALA KAMPALA CAPITAL CITY KAWEMPE,3,2,0,1
01025e43ce8246ea9881646e96f5e3e9,WELDING,32.573565,0.287658333,id_959,pass_1119,0,1,0,1,0,0, ,0,0,0,0
0167fa8ac8e240088ad70fc17d676ab9,MAIZE,30.27564627,0.660229703,id_905,pass_521,0,0,0,1,0,0,KABAROLE FORT PORTAL MUNICIPALITY WESTERN DIVISION,0,0,0,0
01c927ced1fa47968c8a3f83c24de6b2,WELDING,32.52599,0.289108333,id_1022,pass_935,0,1,0,1,1,1,WAKISO SSABAGABO-MAKINDYE MUNICIPALITY BUNAMWAYA DIVISION,0,1,0,3
01e17de2526b4a71a290d5fa6f1457b9,WELDING,34.09153353,0.4730208,id_564,pass_1528,0,1,0,1,1,1,BUSIA BUSIA MUNICIPALITY WESTERN DI,0,1,0,3
01f6a026ba9f44b8a1e8b5b6143f5b19,FURNITURE,33.47267377,0.612043116,id_802,pass_630,1,0,0,1,1,1,IGANGA IGANGA MUNICIPALITY CENTRAL,2,0,0,2
0258ab4b73dc4622a44553646ac997be,FURNITURE,32.463199,0.0575833,id_1189,pass_664,1,0,0,1,0,1,WAKISO ENTEBBE MUNICIPALITY DIVISION B,2,3,0,0
02ec14ffd52a43098be72f643116f2f6,WELDING,29.99308167,0.669933333,id_1208,pass_451,0,1,0,1,0,0,BUNDIBUGYO BWAMBA NYAHUKA TOWN COUNCIL,0,0,0,0
032aa8d09ea245b0b222246c87def0ac,FURNITURE,32.6608547,0.341788,id_150,pass_442,1,0,0,1,1,0,WAKISO KIRA MUNICIPALITY BWEYOGERERE DIVISION,0,0,0,3
033c2365fa1b4f039639309b0cdd1ad8,WELDING,32.55752267,0.318464222,id_437,pass_1522,0,1,0,1,1,1,KAMPALA KAMPALA CAPITAL CITY RUBAGA,0,1,0,2
03696123adbc495baebf132f5633fc74,WELDING,33.478155,0.608161667,id_1484,pass_1842,0,1,0,1,1,1,IGANGA IGANGA MUNICIPALITY CENTRAL,3,3,0,3
041ab61f5c3f4584bb173ced997d7d87,FURNITURE,31.76135167,-0.308781667,id_1260,pass_1246,1,0,0,1,0,1,MASAKA MASAKA MUNICIPALITY NYENDO-SSENYANGE,3,0,0,0
0437df5388a247799e61348b30b28214,MAIZE,32.5273472,0.7191,id_1143,pass_1321,0,0,0,1,0,0,LUWERO KATIKAMU WOBULWNZI TOWN COUNCIL,2,2,0,0
04716d4509dc432cb7d8577312ff9430,FURNITURE,29.99200581,0.676015558,id_1421,pass_640,1,0,0,1,0,0,BUNDIBUGYO BWAMBA NYAHUKA TOWN COUNCIL,0,0,0,0
04795a2a6c394178b37c79e242ce8aea,WELDING,32.6186257,0.3608025,id_920,pass_1188,0,1,0,1,1,1,KAMPALA KAMPALA CAPITAL CITY NAKAWA,3,2,0,3
